name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Al salama used car 416,25.3482093,55.4801357,-0.1373280455169771,-0.8769143529508521,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dealer,0
QALAAT MALIHA BICYCLES REP,25.3045969,55.4200972,-0.13774751078122194,1.0611465350493527,7-9 PM,7-9 PM,7-9 PM,7-9 PM,7-9 PM,7-9 PM,7-9 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
ABDUL HAFIDH AL JASSMI GARAGE,25.2920327,55.3875984,-0.1064973485949829,-0.13150631910461932,8 AM-12:30 PM,8 AM-1 PM,Closed,8 AM-1 PM,8 AM-1 PM,8 AM-1 PM,8 AM-1 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Jackie's Pets Grooming,25.1609398,55.2503968,-0.13376259077089614,0.7629833215108593,4-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
"Sharjah Islamic Bank, Al Hamriya Branch",25.4605561,55.5045042,-0.1373280455169771,1.0611465350493527,7:15-11:45 AM,Closed,Closed,8 AM-2:30 PM,8 AM-2:30 PM,8 AM-2:30 PM,8 AM-2:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bank,0
Iris & May Florist LLC,25.1738487,55.2447739,-0.13774751078122194,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
MISBAH AL MANAKH CAFETERIA,25.349795,55.3985033,-0.1371183128848547,1.0611465350493527,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant,0
Al Masaood Trucks And Heavy Equipments Sharjah,25.3573776,55.6290346,-0.13774751078122194,-4.902117735720509,7:30 AM-4:30 PM,Closed,Closed,7:30 AM-4:30 PM,7:30 AM-4:30 PM,7:30 AM-4:30 PM,7:30 AM-4:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Account,25.1850098,55.2743519,-0.13124579918542723,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Indian Night Club,25.256405,55.2980337,-0.13019713602481517,0.16665689443387402,9 PM-3 AM,9 PM-3 AM,9 PM-3 AM,9 PM-3 AM,9 PM-3 AM,9 PM-3 AM,9 PM-3 AM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
قنصلية بلغاريا,25.2224204,55.25574,-0.1153061191441241,-1.1750775664893454,9:30 AM-1 PM,Closed,Closed,9:30 AM-1 PM,Closed,9:30 AM-1 PM,9:30 AM-1 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Records & Books,52.3695337,4.8896335,-0.12914847286420314,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,1
Applied Science University,26.1431334,50.6145845,-0.10838494228408459,0.16665689443387402,Closed,Closed,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,8 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Pierre de Jonge Casino,51.6285298,4.9395557,-0.1262122160144894,-1.4732407800278386,10 AM-2 AM,10 AM-2 AM,12 PM-2 AM,10 AM-2 AM,10 AM-2 AM,10 AM-2 AM,10 AM-2 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,1
Trailways Stop - 1 Train Depot Street,38.655521,-87.17506499999999,-0.13774751078122194,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,5
LIFE Pharmacy (Tariq),25.2744487,55.367745,-0.10586815069861567,0.9120649282801067,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Reem Dakbedekkingen,52.1024278,5.1136469,-0.13648911498848748,0.16665689443387402,8 AM-5 PM,8 AM-5 PM,Closed,8 AM-5 PM,8 AM-5 PM,8 AM-5 PM,8 AM-5 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,1
Al Jaseer Pharmacy L.L.C,25.2758204,55.3078921,-0.13124579918542723,0.16665689443387402,1 PM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Pharmacy,0
Travel Saga Branch-Travel Agency Near Trade Centre Dubai,25.2318876,55.2855958,-0.12747061180722385,1.0611465350493527,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,0
IT Library,52.3346998,4.9334148,-0.13124579918542723,0.16665689443387402,9 AM-6 PM,9 AM-6 PM,Closed,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Library,1
Smart Body Gym,25.2698576,55.3021753,-0.13774751078122194,1.0611465350493527,5:30 AM-1 AM,5 AM-1 AM,5:30 AM-5 PM,5:30 AM-1 AM,5:30 AM-1 AM,5:30 AM-1 AM,5:30 AM-1 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
90's Beauty Salon Ladies Hair Styling Salons,25.4228697,55.4932966,-0.1285192749678359,-0.727832746181606,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Beauty,0
