name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Masjid Sheikh Al Murr Mosque,25.3012733,55.3380259,0.40613846605344767,0.9138115486202573,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Old Jewish Cemetery,49.7223766,8.840796899999999,0.5380354529218648,0.8429222095775883,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Other,3
Rob Kok Old Books & Prints,52.1961339,5.1323159,0.19611613513818404,0.9805806756909202,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,3
Palaces Jewellery,25.2697553,55.2979003,0.998042208908412,0.06254397842492715,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
Dak garantie Utrecht BV,52.1164303,5.0555941,0.9906788398452958,0.1362183404787282,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Other,3
Dak garantie Utrecht BV,52.1164303,5.0555941,0.9906788398452958,0.1362183404787282,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Other,3
Met Beleid,52.1164303,5.0555941,0.994519416938014,0.1045520412678425,7 AM-6 PM,7 AM-3 PM,Closed,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,3
Met Beleid,52.1164303,5.0555941,0.994519416938014,0.1045520412678425,7 AM-6 PM,7 AM-3 PM,Closed,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,7 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,3
Discovery Park,39.518472,-104.755458,0.9998050672523721,0.019744049647420794,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tourist,1
"DR SAPNA KUDTARKAR, MDS",25.3518706,55.3854856,0.6246950475544243,0.7808688094430304,12-9 PM,12-9 PM,12-9 PM,Closed,12-9 PM,12-9 PM,12-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
